codigo,disciplina,turma,horario,local,docente,departamento_id,tipo_componente,modalidade_educacao,unidade_responsavel,codigo_componente,nome_componente,pre_requisitos,co_requisitos,equivalencias,excluir_avaliacao,matriculavel_online,horario_flexivel,permite_multiplas_aprovacoes,quantidade_avaliacoes,ementa,carga_horaria_total
01,FCE0005 - PATOLOGIA MOLECULAR CLÍNICA,IZABEL CRISTINA RODRIGUES DA SILVA (60h),"6M5  6T123
											


		

											Sexta-feira 12:00 às 15:50",,20,672,DISCIPLINA,Presencial,CAMPUS UNB CEILÂNDIA: FACULDADE DE CIENCIAS E TECNOLOGIAS EM SAÚDE - BRASÍLIA - 11.01.31,Ano.Período de Implementação,PATOLOGIA MOLECULAR CLÍNICA,( ( FCE0307 ) ),-,"FCE0428 (TEORIA), FCE0429 (PRÁTICA)",Não,Sim,Não,Não,1,"Técnicas de diagnóstico molecular de processos infecciosos e de doenças genéticas e metabólicas. Conceitos de identificação humana, teste de paternidade",Não informado
01,FCE0006 - HEMATOLOGIA CLÍNICA,RODRIGO HADDAD (45h),"3M34  3T23
											


		

											Terça-feira 10:00 às 11:50Terça-feira 14:00 às 15:50",,20,672,DISCIPLINA,Presencial,CAMPUS UNB CEILÂNDIA: FACULDADE DE CIENCIAS E TECNOLOGIAS EM SAÚDE - BRASÍLIA - 11.01.31,Ano.Período de Implementação,HEMATOLOGIA CLÍNICA,( ( FCE0307 ) OU ( CFS0039 E FAR0174 ) ),-,"FAR0248 (HEMATOLOGIA CLÍNICA), FCE0426 (HEMATOLOGIA CLÍNICA TEÓRICA), FCE0427 (HEMATOLOGIA CLÍNICA PRÁTICA)",Não,Sim,Não,Não,1,Hematologia laboratorial na prática clínica. Técnicas de colheita de sangue. Anticoagulantes utilizados no laboratório de hematologia. Hemograma: índices hematométricos unidades de medição em hematologia. Observação do esfregaço de sangue periférico: anomalias quantitativas e qualitativas dos glóbulos vermelhos e brancos. Noções de hematopoiese: eritropoiese e mielopoieses. Noções de coagulação e hemostase. Testes laboratoriais utilizados no diagnóstico de anomalias da coagulação. Testes do glóbulo branco: leucemias agudas e crônicas.,Não informado
02,FCE0006 - HEMATOLOGIA CLÍNICA,RODRIGO HADDAD (45h),"3M34  3T45
											


		

											Terça-feira 10:00 às 11:50Terça-feira 16:00 às 17:50",,20,672,DISCIPLINA,Presencial,CAMPUS UNB CEILÂNDIA: FACULDADE DE CIENCIAS E TECNOLOGIAS EM SAÚDE - BRASÍLIA - 11.01.31,Ano.Período de Implementação,HEMATOLOGIA CLÍNICA,( ( FCE0307 ) OU ( CFS0039 E FAR0174 ) ),-,"FAR0248 (HEMATOLOGIA CLÍNICA), FCE0426 (HEMATOLOGIA CLÍNICA TEÓRICA), FCE0427 (HEMATOLOGIA CLÍNICA PRÁTICA)",Não,Sim,Não,Não,1,Hematologia laboratorial na prática clínica. Técnicas de colheita de sangue. Anticoagulantes utilizados no laboratório de hematologia. Hemograma: índices hematométricos unidades de medição em hematologia. Observação do esfregaço de sangue periférico: anomalias quantitativas e qualitativas dos glóbulos vermelhos e brancos. Noções de hematopoiese: eritropoiese e mielopoieses. Noções de coagulação e hemostase. Testes laboratoriais utilizados no diagnóstico de anomalias da coagulação. Testes do glóbulo branco: leucemias agudas e crônicas.,Não informado
01,FCE0007 - A ENFERMAGEM NA ESTRATÉGIA  SAÚDE DA FAMÍLIA,"TANIA CRISTINA MORAIS SANTA BARBARA REHEM (15h)
										
										
										WALTERLANIA SILVA SANTOS (15h)","2M5  2T1
											


		

											Segunda-feira 12:00 às 13:50",,45,672,DISCIPLINA,Presencial,CAMPUS UNB CEILÂNDIA: FACULDADE DE CIENCIAS E TECNOLOGIAS EM SAÚDE - BRASÍLIA - 11.01.31,Ano.Período de Implementação,A ENFERMAGEM NA ESTRATÉGIA  SAÚDE DA FAMÍLIA,( ( FCE0234 E FCE0235 ) ),-,Nenhuma,Não,Sim,Não,Não,1,"Textos e contexto relativos à saúde. Organização e níveis de discurso. Análise de tópicos e conhecimentos de categorias de análise. Pragmática do discurso, pista de contextualização e inferências. Características dos discursos oral e escrito. Coerência, coesão e seleção lexical. Intertextualidade e semiose. Discurso e ideologia relativos à saúde pública.",Não informado
01,FCE0009 - PRÁTICA DA FISIOTERAPIA BASEADA EM PROBLEMAS,FERNANDA PASINATO (30h),"4M5  4T1
											


		

											Quarta-feira 12:00 às 13:50",,40,672,DISCIPLINA,Presencial,CAMPUS UNB CEILÂNDIA: FACULDADE DE CIENCIAS E TECNOLOGIAS EM SAÚDE - BRASÍLIA - 11.01.31,Ano.Período de Implementação,PRÁTICA DA FISIOTERAPIA BASEADA EM PROBLEMAS,-,-,Nenhuma,Não,Sim,Não,Não,1,"Estudo e resolução de casos-problema envolvendo diferentes ciclos de vida e níveis de complexidade de atenção à saúde, integrando os conhecimentos teórico-práticos adquiridos no decorrer do curso de Fisioterapia. Uso de métodos ativos de aprendizagem como norteador do processo ensino- aprendizagem e do desenvolvimento de competências relacionadas à tomada de decisão clínica e resolução de problemas no estágio curricular em fisioterapia.",Não informado
01,FCE0011 - ATENÇÃO PRIMÁRIA EM SAÚDE,OLGA MARIA RAMALHO DE ALBUQUERQUE (60h),"24M34
											


		

											Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50",,45,672,DISCIPLINA,Presencial,CAMPUS UNB CEILÂNDIA: FACULDADE DE CIENCIAS E TECNOLOGIAS EM SAÚDE - BRASÍLIA - 11.01.31,Ano.Período de Implementação,ATENÇÃO PRIMÁRIA EM SAÚDE,( FCE0330 E FCE0234 E FCE0277 ),-,FCE0850 (ATENÇÃO PRIMÁRIA),Não,Sim,Não,Não,1,"A Atenção Primária à Saúde enquanto ciência constitui-se como o primeiro contato de indivíduos, famílias e comunidades com o sistema de saúde. Tem o papel centralizador de organização, coordenação e responsabilização dentro de um sistema de saúde.",Não informado
01,FCE0021 - APRIMORAMENTO DA PERFORMANCE COMUNICATIVA: ATIVIDADE PRÁTICA,JULIANA MOURA ALVES SEIXAS (30h),"3M5  3T1
											


		

											Terça-feira 12:00 às 13:50",,20,672,DISCIPLINA,Presencial,CAMPUS UNB CEILÂNDIA: FACULDADE DE CIENCIAS E TECNOLOGIAS EM SAÚDE - BRASÍLIA - 11.01.31,Ano.Período de Implementação,APRIMORAMENTO DA PERFORMANCE COMUNICATIVA: ATIVIDADE PRÁTICA,-,-,Nenhuma,Não,Sim,Não,Não,1,"Análise dos conceitos de comunicação, linguagem, expressividade e performance comunicativa. Reflexão sobre os aspectos verbais e não verbais da comunicação humana. Experimentação de atividades práticas relacionadas à performance comunicativa.",Não informado
01,FCE0028 - FUNDAMENTOS DE CANCEROLOGIA,LUIS ALEXANDRE MUEHLMANN (30h),"2M5  2T1
											


		

											Segunda-feira 12:00 às 13:50",,100,672,DISCIPLINA,Presencial,CAMPUS UNB CEILÂNDIA: FACULDADE DE CIENCIAS E TECNOLOGIAS EM SAÚDE - BRASÍLIA - 11.01.31,Ano.Período de Implementação,FUNDAMENTOS DE CANCEROLOGIA,( ( FCE0231 ) ),-,Nenhuma,Não,Sim,Não,Não,1,"Fundamentos de biologia celular e molecular aplicados ao processo de tumorogênese e manutenção tumoral, abordagens terapêuticas e de diagnóstico dos tipos de câncer de maior importância epidemiológica e noções básicas de pesquísa em cancerologia básica e aplicada.",Não informado
01,FCE0034 - ESTÁGIO OBRIGATÓRIO  EM FISIOTERAPIA 1,"ANA CLARA BONINI ROCHA (30h)
										
										
										ALINE MARTINS DE TOLEDO (30h)
										
										
										JULIANA MARTINS PINTO (30h)
										
										
										CLARISSA CARDOSO DOS SANTOS COUTO PAZ (30h)
										
										
										JOSEVAN CERQUEIRA LEAL (23h)
										
										
										FERNANDA PASINATO (23h)
										
										
										JULIANA DE FARIA FRACON E ROMAO (15h)
										
										
										FELIPE AUGUSTO DOS SANTOS MENDES (15h)
										
										
										RODRIGO LUIZ CARREGARO (30h)
										
										
										VERA REGINA FERNANDES DA SILVA MARAES (15h)
										
										
										LEONARDO PETRUS DA SILVA PAZ (15h)
										
										
										JULIANA ALBUQUERQUE BALTAR (30h)","23456M1234
											


		

											Segunda-feira 08:00 às 11:50Terça-feira 08:00 às 11:50Quarta-feira 08:00 às 11:50Quinta-feira 08:00 às 11:50Sexta-feira 08:00 às 11:50",,40,672,DISCIPLINA,Presencial,CAMPUS UNB CEILÂNDIA: FACULDADE DE CIENCIAS E TECNOLOGIAS EM SAÚDE - BRASÍLIA - 11.01.31,Ano.Período de Implementação,ESTÁGIO OBRIGATÓRIO  EM FISIOTERAPIA 1,( ( FCE0292 E FCE0293 E FCE0294 E FCE0295 E FCE0300 ) ),-,FCE0442 (ESTÁGIO OBRIGATORIO EM FISIOTERAPIA 1),Não,Sim,Não,Não,1,"Assegura a prática de intervenções fisioterapêuticas na atenção de média e alta complexidade em saúde. Proporciona ambiente para treinamento prático em serviços de fisioterapia com práticas preventivas, curativas e de reabilitação, seja nas unidades básicas de saúde, seja nos ambulatórios e centros de reabilitação.",Não informado
02,FCE0034 - ESTÁGIO OBRIGATÓRIO  EM FISIOTERAPIA 1,"ANA CLARA BONINI ROCHA (30h)
										
										
										ALINE MARTINS DE TOLEDO (30h)
										
										
										JULIANA MARTINS PINTO (30h)
										
										
										CLARISSA CARDOSO DOS SANTOS COUTO PAZ (30h)
										
										
										JOSEVAN CERQUEIRA LEAL (22h)
										
										
										FERNANDA PASINATO (22h)
										
										
										JULIANA DE FARIA FRACON E ROMAO (15h)
										
										
										FELIPE AUGUSTO DOS SANTOS MENDES (15h)
										
										
										RODRIGO LUIZ CARREGARO (30h)
										
										
										VERA REGINA FERNANDES DA SILVA MARAES (15h)
										
										
										LEONARDO PETRUS DA SILVA PAZ (15h)
										
										
										JULIANA ALBUQUERQUE BALTAR (15h)","23456T2345
											


		

											Segunda-feira 14:00 às 17:50Terça-feira 14:00 às 17:50Quarta-feira 14:00 às 17:50Quinta-feira 14:00 às 17:50Sexta-feira 14:00 às 17:50",,40,672,DISCIPLINA,Presencial,CAMPUS UNB CEILÂNDIA: FACULDADE DE CIENCIAS E TECNOLOGIAS EM SAÚDE - BRASÍLIA - 11.01.31,Ano.Período de Implementação,ESTÁGIO OBRIGATÓRIO  EM FISIOTERAPIA 1,( ( FCE0292 E FCE0293 E FCE0294 E FCE0295 E FCE0300 ) ),-,FCE0442 (ESTÁGIO OBRIGATORIO EM FISIOTERAPIA 1),Não,Sim,Não,Não,1,"Assegura a prática de intervenções fisioterapêuticas na atenção de média e alta complexidade em saúde. Proporciona ambiente para treinamento prático em serviços de fisioterapia com práticas preventivas, curativas e de reabilitação, seja nas unidades básicas de saúde, seja nos ambulatórios e centros de reabilitação.",Não informado
