codigo,disciplina,turma,horario,local,docente,tipo_componente,modalidade_educacao,unidade_responsavel,codigo_componente,nome_componente,pre_requisitos,co_requisitos,equivalencias,excluir_avaliacao,matriculavel_online,horario_flexivel,permite_multiplas_aprovacoes,quantidade_avaliacoes,ementa,carga_horaria_total
01,FCTE0001 - FUNDAMENTOS LÓGICOS DE INTELIGÊNCIA ARTIFICIAL,BRUNO CESAR RIBAS (60h),"35T45
											


		

											Terça-feira 16:00 às 17:50Quinta-feira 16:00 às 17:50",,60,DISCIPLINA,Presencial,CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA - BRASÍLIA - 11.01.32,Ano.Período de Implementação,FUNDAMENTOS LÓGICOS DE INTELIGÊNCIA ARTIFICIAL,( ( FGA0146 OU FGA0147 ) E ( FGA0085 ) ),-,Nenhuma,Não,Sim,Não,Não,1,"Introdução à lógica clássica;

Lógica de primeira ordem;

Representações proposicionais;

Procedimentos automáticos de prova;

Problema de satisfatibilidade (SAT);

Algoritmos para SAT;

Busca em grafos;

Formas não clausais de representação;

Planejamento automatizado;

Aplicações em planejamento automatizado.",Não informado
01,FCTE0002 - PARADIGMAS DE SOLUÇÃO DE PROBLEMAS,EDSON ALVES DA COSTA JUNIOR (60h),"35T45
											


		

											Terça-feira 16:00 às 17:50Quinta-feira 16:00 às 17:50",,50,DISCIPLINA,Presencial,CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA - BRASÍLIA - 11.01.32,Ano.Período de Implementação,PARADIGMAS DE SOLUÇÃO DE PROBLEMAS,-,-,Nenhuma,Não,Sim,Não,Não,1,"1. Busca completa

(a) Backtracking

(b) Meet in the middle

2. Algoritmos gulosos

(a) Definição e propriedades

(b) Dois ponteiros

3. Divisão e conquista

(a) Busca binária

(b) Busca ternária

(c) Transformada de Fourier

4. Programação Dinâmica

(a) Definição e propriedades

(b) Max range sum

(c) Problema do troco

(d) Problema da mochila

(e) Maior subsequência crescente

(f) Problema do caixeiro viajante

(g) DP de dígitos

(h) Máscaras binárias

(i) Otimizações e técnicas avançadas",Não informado
01,FGA0003 - COMPILADORES 1,SERGIO ANTONIO ANDRADE DE FREITAS (60h),"24T23
											


		

											Segunda-feira 14:00 às 15:50Quarta-feira 14:00 às 15:50",,100,DISCIPLINA,Presencial,CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA - BRASÍLIA - 11.01.32,Ano.Período de Implementação,COMPILADORES 1,( ( FGA0147 ) OU ( FGA0146 ) ),-,FGA0002 (FUNDAMENTOS DE COMPILADORES),Não,Sim,Não,Não,1,Autômatos. Gramáticas. Analisador léxico. Analisador Sintático. Geração de Código.,Não informado
02,FGA0003 - COMPILADORES 1,FABIO MACEDO MENDES (60h),"46T45
											


		

											Quarta-feira 16:00 às 17:50Sexta-feira 16:00 às 17:50",,110,DISCIPLINA,Presencial,CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA - BRASÍLIA - 11.01.32,Ano.Período de Implementação,COMPILADORES 1,( ( FGA0147 ) OU ( FGA0146 ) ),-,FGA0002 (FUNDAMENTOS DE COMPILADORES),Não,Sim,Não,Não,1,Autômatos. Gramáticas. Analisador léxico. Analisador Sintático. Geração de Código.,Não informado
03,FGA0003 - COMPILADORES 1,FABIO MACEDO MENDES (60h),"46T6  46N1
											


		

											Quarta-feira 18:00 às 19:50Sexta-feira 18:00 às 19:50",,110,DISCIPLINA,Presencial,CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA - BRASÍLIA - 11.01.32,Ano.Período de Implementação,COMPILADORES 1,( ( FGA0147 ) OU ( FGA0146 ) ),-,FGA0002 (FUNDAMENTOS DE COMPILADORES),Não,Sim,Não,Não,1,Autômatos. Gramáticas. Analisador léxico. Analisador Sintático. Geração de Código.,Não informado
01,FGA0006 - FUNDAMENTOS DE EQUAÇÕES DIFERENCIAIS PARA ENGENHARIA,VINICIUS DE CARVALHO RISPOLI (60h),"25T6  25N1
											


		

											Segunda-feira 18:00 às 19:50Quinta-feira 18:00 às 19:50",,60,DISCIPLINA,Presencial,CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA - BRASÍLIA - 11.01.32,FGA0006,FUNDAMENTOS DE EQUAÇÕES DIFERENCIAIS PARA ENGENHARIA,( ( MAT0031 E MAT0027 ) ),-,Nenhuma,Não,Sim,Não,Não,1,1.Equações Diferenciais Parciais de Primeira Ordem- Leis de Conservação (Método das Características)2.Equações Diferenciais Parciais de Segunda Ordem em Domínios Limitados-Separação de Variáveis-Série de Fourier3.Teoria de Sturm-Liouville-Expansão por Séries Ortogonais-Equações Não-Homogêneas4.Transformadas Discretas-Funções de Bessel5.Equações Diferenciais Parciais de Segunda Ordem em Domínios Ilimitados-Transformada de Fourier6.Introdução às Equações Diferenciais Não-Lineares,Não informado
01,FGA0008 - SISTEMAS AEROESPACIAIS,RONNE TOLEDO (60h),"24M34
											


		

											Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50",,45,DISCIPLINA,Presencial,CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA - BRASÍLIA - 11.01.32,Ano.Período de Implementação,SISTEMAS AEROESPACIAIS,( ( IFD0171 E FGA0254 ) OU ( IFD0171 E IFD0175 ) ),-,Nenhuma,Não,Sim,Não,Não,1,"Introduz princípios fundamentais da aerodinâmica, da propulsão e da mecânica orbital para a análise de projetos de aviões, foguetes e naves espaciais Tópicos em aeronaves incluem introdução: ao desempenho de cruzeiro, ao projeto da asa, à propulsão, à estabilidade, ao controle e às estruturas Tópicos em espaçonaves incluem introdução: ao projeto e teste de foguetes espaciais, à propulsão, a órbitas e missões, aos sistemas de lançamento e aos subsistemas de espaçonaves.",Não informado
01,FGA0015 - PROCESSAMENTO DIGITAL DE IMAGENS,MARCUS VINICIUS CHAFFIM COSTA (60h),"46M5  46T1
											


		

											Quarta-feira 12:00 às 13:50Sexta-feira 12:00 às 13:50",,35,DISCIPLINA,Presencial,CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA - BRASÍLIA - 11.01.32,Ano.Período de Implementação,PROCESSAMENTO DIGITAL DE IMAGENS,( ( FGA0219 ) OU ( FGA0102 E FGA0157 ) ),-,Nenhuma,Não,Sim,Não,Não,1,"Fundamentos do processamento digital de imagens Processamento de imagens em cores Relações de conectividade e transformações de intensidade Transformada de wavelets e processamento multirresolução Realce de imagens e filtragem espacialIntrodução à compressão de imagens e de vídeo Transformada de Fourier e filtragem de imagens no domínio da frequência Introdução à morfologia matemática e aplicações em imagens Análise e restauração de imagens Introdução à segmentação, representação, descrição e classificação de padrões.",Não informado
01,FGA0017 - PROJETOS DE CIRCUITOS INTEGRADOS 1,SANDRO AUGUSTO PAVLIK HADDAD (60h),"35T23
											


		

											Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50",,35,DISCIPLINA,Presencial,CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA - BRASÍLIA - 11.01.32,Ano.Período de Implementação,PROJETOS DE CIRCUITOS INTEGRADOS 1,( ( ENE0181 ) OU ( FGA0217 ) OU ( FGA0068 E FGA0070 ) ),-,FGA0215 (PROJETO DE CIRCUITOS ELETRÔNICOS INTEGRADOS 1),Não,Sim,Não,Não,1,"Introdução ao Projeto de Circuitos Integrados  Teoria dos transistores CMOS, regiões de operação e características I-V Processo de fabricação de transistores CMOS Amplificadores de 1 estágio Amplificadores Diferenciais Espelhos de corrente ativos Amplificadores de 2 estágios Amplificadores Operacionais CMOS.",Não informado
01,FGA0023 - DINÂMICA DOS MECANISMOS,RITA DE CASSIA SILVA (60h),"35M12
											


		

											Terça-feira 08:00 às 09:50Quinta-feira 08:00 às 09:50",,40,DISCIPLINA,Presencial,CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA - BRASÍLIA - 11.01.32,Ano.Período de Implementação,DINÂMICA DOS MECANISMOS,( ( FGA0154 ) ),-,FGA0022 (CINEMÁTICA DOS MECANISMOS PARA AUTOMOTIVA),Não,Sim,Não,Não,1,1- Cinemática 2- Dinâmica,Não informado
